Date Time,Open,High,Low,Close,Volume,Adj Close
2018-03-01 08:00:00,10336.05,10419.89,10238.0,10393.61,9299636.0954,10393.61
2018-03-01 07:00:00,10438.89,10449.0,10298.88,10338.45,8210052.30226,10338.45
2018-03-01 06:00:00,10540.0,10577.0,10433.01,10438.89,2983189.76128,10438.89
2018-03-01 05:00:00,10667.53,10714.79,10535.71,10540.0,3011842.90566,10540.0
2018-03-01 04:00:00,10562.51,10684.79,10556.66,10653.34,3231023.51817,10653.34
2018-03-01 03:00:00,10503.46,10562.56,10503.46,10556.66,1733703.73484,10556.66
2018-03-01 02:00:00,10451.48,10620.0,10442.0,10503.46,6748381.91636,10503.46
2018-03-01 01:00:00,10425.95,10500.0,10405.09,10448.13,3720011.13477,10448.13
2018-03-01 00:00:00,10512.01,10552.46,10410.0,10418.95,5313617.35025,10418.95
2018-02-28 23:00:00,10523.76,10596.55,10460.83,10518.53,5891851.33507,10518.53
2018-02-28 22:00:00,10473.31,10600.78,10432.76,10511.03,6821663.95511,10511.03
2018-02-28 21:00:00,10400.09,10511.68,10378.0,10479.54,8670112.46407,10479.54
2018-02-28 20:00:00,10569.6,10619.99,10388.0,10400.09,8135565.31222,10400.09
2018-02-28 19:00:00,10580.39,10647.0,10508.95,10569.6,3791490.56752,10569.6
2018-02-28 18:00:00,10606.3,10610.0,10500.0,10575.05,6321065.78827,10575.05
2018-02-28 17:00:00,10521.25,10639.0,10486.18,10606.3,9008537.2745,10606.3
2018-02-28 16:00:00,10750.01,10828.56,10500.0,10521.25,7601090.26404,10521.25
2018-02-28 15:00:00,10816.31,10835.4,10688.0,10752.15,7550096.47758,10752.15
2018-02-28 14:00:00,10953.99,11067.99,10781.1,10815.83,14495351.6971,10815.83
2018-02-28 13:00:00,10897.0,10973.36,10880.66,10953.99,5593194.42034,10953.99
2018-02-28 12:00:00,10899.91,10977.6,10888.0,10897.0,6052130.11944,10897.0
2018-02-28 11:00:00,10680.57,10956.33,10670.89,10892.72,11767382.6216,10892.72
2018-02-28 10:00:00,10709.95,10761.0,10671.0,10680.57,4921897.72601,10680.57
2018-02-28 09:00:00,10652.37,10730.95,10629.0,10709.95,4697530.5773,10709.95
2018-02-28 08:00:00,10569.91,10676.0,10567.0,10653.0,2782409.61874,10653.0
2018-02-28 07:00:00,10735.45,10765.0,10567.0,10569.91,3307547.77959,10569.91
2018-02-28 06:00:00,10749.0,10793.0,10712.0,10744.94,1846422.75574,10744.94
2018-02-28 05:00:00,10682.35,10768.0,10668.64,10735.14,2275708.60089,10735.14
2018-02-28 04:00:00,10689.35,10713.0,10623.0,10682.35,1454578.42964,10682.35
2018-02-28 03:00:00,10639.95,10748.0,10628.86,10689.44,2266179.87813,10689.44
2018-02-28 02:00:00,10574.73,10646.0,10573.41,10633.16,1301701.52412,10633.16
2018-02-28 01:00:00,10630.75,10638.15,10551.0,10574.73,2399905.29605,10574.73
2018-02-28 00:00:00,10572.0,10676.94,10570.0,10635.0,5571182.09899,10635.0
2018-02-27 23:00:00,10687.02,10699.0,10470.0,10574.23,11336801.1581,10574.23
2018-02-27 22:00:00,10849.0,10856.92,10664.0,10687.05,7961311.77245,10687.05
2018-02-27 21:00:00,10685.0,10856.98,10672.15,10848.98,7957964.40419,10848.98
2018-02-27 20:00:00,10689.21,10758.0,10601.0,10685.0,6643994.47431,10685.0
2018-02-27 19:00:00,10605.96,10737.7,10585.0,10699.0,8490852.76596,10699.0
2018-02-27 18:00:00,10704.62,10723.0,10550.1,10605.96,9801827.63228,10605.96
